289,67,64,236
280.682,41.8038,59.7197,217.977
292.626,104.509,59.7197,217.977
286.654,104.509,59.7197,217.977
286.654,83.6076,59.7197,217.977
283.86,86.8594,59.1383,215.855
281.734,88.2056,58.8053,214.639
277.39,90.6458,58.2896,212.757
275.98,91.7035,57.7766,210.885
253.809,104.509,49.7664,181.647
258.785,121.928,49.7664,181.647
256.4,124.526,48.6911,177.723
232.907,104.509,59.7197,217.977
232.907,104.509,59.7197,217.977
229.152,102.702,60.4625,220.688
278.692,121.928,49.7664,181.647
286.157,145.152,41.472,151.373
286.351,143.171,41.7582,152.417
284.535,140.591,42.0263,153.396
285.165,139.109,42.528,155.227
284.574,136.257,43.4601,158.629
284.391,136.028,43.5044,158.791
284.424,136.031,43.4502,158.593
285.069,138.053,43.1845,157.624
290.591,143.241,42.35,154.577
296,119,20,73
302,119,20,73
302.4,109.2,24,87.6
300,226.8,24,87.6
300,226.8,24,87.6
298.807,224.008,24.0904,87.93
297.569,223.065,24.0135,87.6492
291.237,220.154,24.3693,88.9479
290,224,20,73
270.72,201.6,28.8,105.12
262.767,83.6076,59.7197,217.977
274.711,104.509,59.7197,217.977
268.739,83.6076,59.7197,217.977
268.739,83.6076,59.7197,217.977
268.071,87.3415,58.9517,215.174
262.767,83.6076,59.7197,217.977
244.851,83.6076,59.7197,217.977
343.388,17.4182,49.7664,181.647
344.081,15.1575,50.1657,183.105
350,210,20,73
352,203,20,73
352,203,20,73
350.797,203.996,20.0178,73.0651
323.482,104.509,49.7664,181.647
319.748,102.85,50.1644,183.1
313.159,101.189,50.6851,185.001
323.482,104.509,49.7664,181.647
334.43,83.6076,59.7197,217.977
335.492,83.1641,60.0045,219.016
340.07,130.637,41.472,151.373
283.392,145.152,34.56,126.144
298.598,130.637,41.472,151.373
297.216,157.248,34.56,126.144
190,147,20,73
298.598,101.606,41.472,151.373
300.864,100.976,40.6754,148.465
301.066,99.7803,40.4058,147.481
120,117.6,24,87.6
108,117.6,24,87.6
369.101,116.122,41.472,151.373
79.2,117.6,24,87.6
63.6041,116.559,24.0398,87.7454
55.7363,116.811,23.7981,86.863
42,126,20,73
36,126,20,73
26,126,20,73
20.1869,125.88,20.0596,73.2174
8,126,20,73
2,126,20,73
0,126,20,73
162,126,20,73
151.319,124.508,19.8919,72.6054
144.985,123.444,19.9777,72.9186
129.68,122.221,19.6468,71.7109
121.27,121.362,19.7262,72.0007
106,119,20,73
108,109.2,24,87.6
91.2,109.2,24,87.6
83.4751,109.321,23.9359,87.366
62.4,109.2,24,87.6
52,119,20,73
32,119,20,73
22,119,20,73
-0.33693,118.649,20.268,73.9784
0,119,20,73
14.4,109.2,24,87.6
2.78876,110.378,23.2922,85.0166
314.4,92.4,24,87.6
312.939,95.8695,24.0934,87.941
314.496,72.576,34.56,126.144
314.496,72.576,34.56,126.144
316.564,73.6501,34.6049,126.308
317.952,72.576,34.56,126.144
320.476,70.367,34.877,127.301
324,109.2,24,87.6
319.2,126,24,87.6
314,140,20,73
314,133,20,73
314.028,129.338,19.927,72.7335
258,98,20,73
258.27,95.9241,19.8848,72.5795
286,98,20,73
304,126,20,73
276,91,20,73
296.64,120.96,28.8,105.12
312,126,24,87.6
572,140,20,73
563.331,137.322,19.7992,72.2669
559.075,135.906,19.7096,71.9399
551.409,133.259,19.455,71.0107
547.869,132.131,19.4071,70.8359
542.733,130.26,18.8743,68.8913
541.068,129.275,18.8006,68.6221
333.6,58.8,24,87.6
337.212,58.5433,23.8844,87.1781
313.92,60.48,28.8,105.12
319.68,60.48,28.8,105.12
549.6,252,24,87.6
244.851,0,59.7197,217.977
256.795,0,59.7197,217.977
257.733,0.360197,59.7811,218.201
250.823,0,59.7197,217.977
268.739,0,59.7197,217.977
256.795,20.9019,59.7197,217.977
262.767,0,59.7197,217.977
343.388,87.0912,49.7664,181.647
