282.45,248.69,51.1,50.62
280.69,248.12,51.62,53.77
282.51,248.95,47.98,56.1
284.59,249.57,47.82,54.86
285.38,250.08,48.24,52.84
283.38,250.01,50.24,54.98
283.74,251.75,48.52,52.5
283.38,253.26,46.24,51.47
282.64,258.14,47.72,50.72
284.24,263.99,44.52,48.02
279.4,265.38,45.2,46.24
276.1,257.97,48.8,54.06
275,259.82,51,56.36
278.41,267.67,49.18,51.66
272.86,264.95,52.28,56.1
273.25,267.53,50.5,52.94
276.48,266.91,49.04,55.18
275.94,267.16,51.12,53.68
279,273,41,43
277,270,44,54
275.78,266.37,48.3,56.87
276,270,45,48
275.48,271.04,47.6,48.3
273,264,52,56
275.48,269.94,47.04,54.12
279,271,38,45
273,266.01,53,56.98
269.49,261.56,54.67,61.45
270.34,263.44,56.2,67.19
273.22,267.86,52.2,55.18
269.62,262.39,55.04,63.22
271.82,270.93,52.65,61.89
270.93,273.41,46.75,56.3
268.08,271.88,49.98,59.63
267.17,270.45,57.73,62.39
269.83,271.01,49.34,55.76
274,275,46,50
269.7,273.51,51.86,55.89
270.02,269.6,53.26,58.9
271.99,274.16,46.26,53.22
275.45,276.27,45.65,46.21
271.79,269.05,52.17,62.71
272.21,266.07,51.47,58.7
269.89,263.73,55.68,61.41
266.03,260.54,58.77,68
268.01,263.4,54.54,62.35
265.94,259.63,55.1,65.52
266.94,261.32,52.97,64.56
266.15,261.8,48.85,58.68
264.33,260.76,55.44,67.2
266.28,261.75,52.21,64.46
264.71,260.81,54.64,63.9
271,273,42,43
263.89,266.35,56.73,63.2
262.19,258.88,55.78,71.14
261.21,259.6,57.67,66.81
260.7,260.38,55.98,66.56
260.14,263.31,57.49,63.71
256.81,259.09,57.43,66.15
257.72,259.34,55.39,70.61
256.23,259.45,57.08,66.86
259,271,50,49
253.89,270.74,51.28,49.4
249.6,265.12,54.6,57.36
246.77,258.65,60.72,72.6
253.04,272.01,50.91,58.62
246.38,261.3,60.1,72.39
246.33,268.75,56.34,59.5
243.92,267.43,61.16,65.14
243.51,266.28,54.98,61.44
240.19,262.88,57.25,67.44
239.38,262.15,55.62,68.22
239.57,261.95,53.1,66.58
234.95,258.91,58.83,71.46
238.65,262.71,51.25,65.39
235.18,258.41,53.38,65.69
231.81,259.42,60.27,71.14
233.24,257.14,59.05,70.41
240.12,267.78,53.76,59.44
247,275,45,50
236.83,259.41,61.66,74.29
241.32,262.78,55.65,67.86
241.7,263.51,55.62,67.95
238.19,259.14,62.94,72.6
242.56,261.3,56.59,66.73
241.65,262.77,59.44,69.65
244.46,265.69,55.63,65.2
240.02,261.6,61.82,71.18
246.15,274.07,49.38,51.38
239.31,262.19,59.96,67.77
239.34,263.67,59.33,64.19
241.74,267.94,52.87,61.07
241.36,268.21,54.27,61.32
236.3,260.17,60.02,71.61
235.74,267.6,57.26,62.2
234.28,268.15,58.29,64.52
232.73,259.04,58.66,65.87
237,270,48,46
235.11,256.83,51.87,67.46
233.76,267.14,47.42,57.86
236,267,47,55
252,294,41,46
269,311,38,42
283,319,39,43
306.25,326.78,37.69,45.57
331,339,40,47
351,343,43,43
362,338,34,41
358.16,332.92,42.83,49.59
362,334,40,46
366,329,41,45
367,317,45,51
372.67,318.48,42.1,50.74
374,319.15,41.92,48.9
369,318,43,48
367,319,41,49
367,320,42,50
366,323,42,49
362,323,42,49
359.02,323.16,44.58,50.79
361,324,41,53
358,326,43,51
354,327,42,49
352,327,42,49
347.87,323.38,42.97,47.28
338.04,318.55,39.79,45.34
332,316,42,47
331,317.62,44.97,51.23
334.2,318.31,44.93,53.47
331.42,320,46.99,50.38
328.37,313.71,47.03,53.1
327.51,311.36,48.34,57.74
326.43,311.55,47.84,55.72
331,318,42,42
324.93,307.06,49.84,54.12
325.67,298.57,43.5,58.56
318.26,299.11,48.55,55.83
316.37,299.42,50.79,58.47
314.67,306.7,47.69,58.68
305.4,312.57,46.07,53.57
296.54,309.94,55.35,59.93
301.09,310.42,51.49,62.51
304.47,311.41,48.18,59.08
306.14,315.45,41.16,53.35
304.14,314.27,43.86,53.75
306.15,306.36,46.28,56.55
305.17,301.61,50.28,57.1
308.11,295.42,48.59,60.85
310.93,297.39,42.86,52.35
308.72,290.88,47.28,48.06
311.57,289.21,49.86,53.58
312.63,285.24,50.01,58.77
309.72,283.52,57,66.32
312.1,286.51,52.58,56.33
307.42,288.8,57.28,59.26
312.65,287.63,47.7,56.74
313.78,281.03,58.44,60.94
316.07,282.79,50.86,53.42
322.08,281.08,44.84,52.84
322.27,282.13,44.46,48.74
320.36,280.62,47.28,54.76
325.71,276.84,44.33,39.42
322.62,269.06,53.76,58.88
321.09,267.87,48.09,53.99
322.58,268.93,46.87,57.09
320.62,266.65,51.59,59.85
322.18,265.68,50.16,57.6
321.92,268.24,51.25,53.26
327.66,268.64,44.68,46.72
325.87,257.94,52.04,61.24
326.59,259.27,54.69,63.27
328.34,261.71,51.99,56.9
324.33,264.17,57.81,60.92
324.02,262.57,57.62,62.47
331.2,268.02,41.12,53.04
330,268,45,48
329.36,267.35,43.54,39.69
329.84,266.15,44.88,42.85
328,256,46,53
333,254,48,48
329.12,244.12,57.83,63.24
328.57,240.87,58.98,65.18
325.73,234.62,69.44,71.37
338.84,242.87,47.31,53.38
342.24,241.79,45.81,52.59
340.55,238.72,54.16,60.86
346.05,243.65,51.11,52.25
341.52,241.06,56.44,57.37
349.66,239.67,48.68,53.66
343.32,240.48,59.56,55.71
351.87,245.93,47.26,52.14
346.29,241.8,51.93,55.52
353,239,44,56
340.61,234.25,68.52,67.68
344.93,234.46,66.39,66.67
353.43,239.8,50.39,56.1
353.36,235.79,54.54,58.04
357.79,238.37,50.42,56.27
357.35,236.94,55.3,59.12
359.63,241,46.74,53
358.2,236.94,53.6,57.12
362.06,241.61,46.88,50.78
359.16,237.3,48.68,57.4
367,239,38,42
361,229,49,63
355.36,231.67,55.66,56.35
363,236,43,48
365,238,41,50
361.3,236.9,45.97,59.02
359.99,241.46,43.91,52.33
355.7,244.76,48.4,54.08
356.86,244.02,45.63,52.62
352.73,246.62,48.2,54.57
348,246.75,48.19,53.91
349.51,243.84,44.34,54.86
353.19,242.41,39.87,49.62
352.13,240.74,42.69,47.6
348.78,237.89,46.33,53.65
344.87,238.17,49.23,60.7
346.32,239.47,45.67,55.27
343.5,241.07,46.58,52.76
335.92,237.43,53.67,59.8
337.17,239.4,44.41,54.65
335.2,237.14,46.43,55.22
337,240,40,50
332.91,235.96,44.06,56.95
334.37,235.06,38.65,56.66
335.67,236.43,39.08,54.09
331.08,235.55,47.12,53.6
334.46,233.48,43.76,50.65
337,228,41,52
336.05,225.67,43.08,56.63
336.63,227.29,44.64,56.63
339.39,227.67,38.66,49.99
338.14,223.59,42.13,50.21
336.36,220.57,46.53,62.63
336.08,221.84,47.74,59.26
336.83,221.37,45.28,54.64
336.09,222.36,48.04,58.14
336.62,221.53,46.76,57.94
343.55,222.66,37.15,49.49
339.99,222.74,45.02,50.52
342.33,221.19,41.42,51.43
342.7,213.17,42.6,53.66
341.34,216.95,45.32,52.1
342.28,213.46,41.14,55.51
345,212,37,53
344.8,211.36,41.7,53.82
341.83,208.28,45.97,56.33
341.88,205.82,45.8,60.23
343,210,39,52
344.64,210.95,40.32,51.87
345.21,212.36,39.25,48.88
338.34,206.35,54.54,62.18
339.46,204.85,55.35,59.97
346.08,208.77,38.29,57.7
339.04,208.84,55.92,60.32
352.19,210.08,46.62,56.84
352.69,214.06,44.62,55.88
351.52,215.59,48.96,56.82
353.24,228.74,42.52,49.52
352.42,228.51,40.16,51.98
347.71,235.49,47.58,51.02
343,235,41,46
349,238,30,42
345,236.79,39,46.41
343.57,235.54,44.86,55.92
345.39,237.24,41.22,50.52
344.7,232.95,43.6,57.1
341.26,234.38,41.48,56.24
341.15,232.06,46.7,54.88
341.92,235.14,43.16,51.72
343.41,236.76,47.18,52.48
348.49,238.51,38.02,39.98
348.14,236.01,41.72,44.98
348.8,237.29,42.4,47.41
345.97,226.83,49.06,60.34
345.01,229.27,46.98,53.46
347.91,224.66,46.18,54.68
348.87,232.15,44.26,49.7
348.87,235.31,45.26,51.38
345.77,228.73,51.46,58.54
356.6,236.66,36.8,35.68
360,236,32,38
352.18,228.48,49.64,53.04
354.26,228.94,49.48,53.12
354.82,233.47,50.36,53.06
361.12,242.05,37.76,38.9
358.01,241.5,46.98,45
359.35,235.94,46.3,49.12
360.16,236.31,47.68,51.38
359.15,238.05,47.7,51.9
361.81,238.1,48.38,52.05
364.47,238.16,49.06,52.19
367.13,238.21,49.74,52.33
369.79,238.26,50.42,52.48
370.98,236.53,50.54,52.69
372.18,234.81,50.64,52.88
373.37,233.08,50.76,53.09
374.13,231.36,54.06,56.56
381,234,38,49
375.86,232.44,52.46,53.46
384.07,233.94,34.11,46.14
376.39,234.3,44.26,46.87
377.72,231.38,44.09,54.67
378.97,232.13,50.68,53.7
383.8,236.71,36.74,37.38
383.13,234.7,39.11,41.71
385,231,39,41
382.51,230.67,40.03,45.55
382.99,229.77,42.02,47.46
381.44,231.36,43.12,46.28
376.56,230.09,50.45,56.48
374.41,230.18,54.12,58.47
383.37,233.21,36.51,52.79
377.53,230.52,50.46,55.08
377.88,232.3,47.62,52.31
382.33,233.14,35.75,43.41
373.93,229.23,57.44,57.45
381.47,233.98,44.8,48.98
384,236,36,46
380.4,225.7,43.49,52.81
382,230,40,50
379.98,226.82,41.87,46.96
385,234,32,44
383.65,229.75,37.89,39.04
385.15,227.98,41.52,50.38
384,229.31,39.64,39.71
362.49,230.58,52.16,54.16
360.66,234.29,44.69,46.35
357.22,234.53,51.44,48.1
359,237,41,39
358.14,233.45,47.85,41.6
354,228.64,54,60.72
355.66,243.66,42.68,42.68
358.27,242.25,37.46,38.5
359.52,239.49,38.96,40.02
354.62,236.68,42.76,41.64
364,240,31,35
358,237,35,31
351.11,232.89,45.7,44.08
